IndexType,IndexUnique,Operation,ListType,numElements,ExperimentNumber,Duration,NumNodes
old,nonUnique,insert_write,increasing,500000,3,88,1988
old,nonUnique,insert,increasing,500000,4,189,1988
old,nonUnique,insert_write,increasing,500000,4,93,1988
old,nonUnique,insert,increasing,500000,5,31,1988
old,nonUnique,insert_write,increasing,500000,5,86,1988
old,nonUnique,insert,increasing,500000,6,32,1988
old,nonUnique,insert_write,increasing,500000,6,89,1988
old,nonUnique,insert,increasing,500000,7,31,1988
old,nonUnique,insert_write,increasing,500000,7,86,1988
old,nonUnique,insert,increasing,500000,8,31,1988
old,nonUnique,insert_write,increasing,500000,8,88,1988
old,nonUnique,insert,increasing,500000,9,33,1988
old,nonUnique,insert_write,increasing,500000,9,88,1988
old,nonUnique,insert,increasing,500000,10,33,1988
old,nonUnique,insert_write,increasing,500000,10,89,1988
old,nonUnique,insert,increasing,1000000,0,67,3976
old,nonUnique,insert_write,increasing,1000000,0,1965,3976
old,nonUnique,insert,increasing,1000000,1,75,3976
old,nonUnique,insert_write,increasing,1000000,1,172,3976
old,nonUnique,insert,increasing,1000000,2,127,3976
old,nonUnique,insert_write,increasing,1000000,2,181,3976
old,nonUnique,insert,increasing,1000000,3,68,3976
old,nonUnique,insert_write,increasing,1000000,3,177,3976
old,nonUnique,insert,increasing,1000000,4,67,3976
old,nonUnique,insert_write,increasing,1000000,4,183,3976
old,nonUnique,insert,increasing,1000000,5,64,3976
old,nonUnique,insert_write,increasing,1000000,5,176,3976
old,nonUnique,insert,increasing,1000000,6,134,3976
old,nonUnique,insert_write,increasing,1000000,6,176,3976
old,nonUnique,insert,increasing,1000000,7,65,3976
old,nonUnique,insert_write,increasing,1000000,7,177,3976
old,nonUnique,insert,increasing,1000000,8,65,3976
old,nonUnique,insert_write,increasing,1000000,8,174,3976
old,nonUnique,insert,increasing,1000000,9,66,3976
old,nonUnique,insert_write,increasing,1000000,9,174,3976
old,nonUnique,insert,increasing,1000000,10,130,3976
old,nonUnique,insert_write,increasing,1000000,10,175,3976
old,nonUnique,insert,random_nonUnique,100000,0,23,465
old,nonUnique,insert_write,random_nonUnique,100000,0,20,465
old,nonUnique,insert,random_nonUnique,100000,1,24,465
old,nonUnique,insert_write,random_nonUnique,100000,1,20,465
old,nonUnique,insert,random_nonUnique,100000,2,23,465
old,nonUnique,insert_write,random_nonUnique,100000,2,20,465
old,nonUnique,insert,random_nonUnique,100000,3,23,465
old,nonUnique,insert_write,random_nonUnique,100000,3,21,465
old,nonUnique,insert,random_nonUnique,100000,4,23,465
old,nonUnique,insert_write,random_nonUnique,100000,4,21,465
old,nonUnique,insert,random_nonUnique,100000,5,22,465
old,nonUnique,insert_write,random_nonUnique,100000,5,21,465
old,nonUnique,insert,random_nonUnique,100000,6,23,465
old,nonUnique,insert_write,random_nonUnique,100000,6,20,465
old,nonUnique,insert,random_nonUnique,100000,7,22,465
old,nonUnique,insert_write,random_nonUnique,100000,7,20,465
old,nonUnique,insert,random_nonUnique,100000,8,23,465
old,nonUnique,insert_write,random_nonUnique,100000,8,20,465
old,nonUnique,insert,random_nonUnique,100000,9,23,465
old,nonUnique,insert_write,random_nonUnique,100000,9,20,465
old,nonUnique,insert,random_nonUnique,100000,10,23,465
old,nonUnique,insert_write,random_nonUnique,100000,10,20,465
old,nonUnique,insert,random_nonUnique,500000,0,191,2303
old,nonUnique,insert_write,random_nonUnique,500000,0,2305,2303
old,nonUnique,insert,random_nonUnique,500000,1,144,2303
old,nonUnique,insert_write,random_nonUnique,500000,1,112,2303
old,nonUnique,insert,random_nonUnique,500000,2,175,2303
old,nonUnique,insert_write,random_nonUnique,500000,2,108,2303
old,nonUnique,insert,random_nonUnique,500000,3,154,2303
old,nonUnique,insert_write,random_nonUnique,500000,3,102,2303
old,nonUnique,insert,random_nonUnique,500000,4,141,2303
old,nonUnique,insert_write,random_nonUnique,500000,4,112,2303
old,nonUnique,insert,random_nonUnique,500000,5,153,2303
old,nonUnique,insert_write,random_nonUnique,500000,5,101,2303
old,nonUnique,insert,random_nonUnique,500000,6,142,2303
old,nonUnique,insert_write,random_nonUnique,500000,6,102,2303
old,nonUnique,insert,random_nonUnique,500000,7,195,2303
old,nonUnique,insert_write,random_nonUnique,500000,7,105,2303
old,nonUnique,insert,random_nonUnique,500000,8,139,2303
old,nonUnique,insert_write,random_nonUnique,500000,8,102,2303
old,nonUnique,insert,random_nonUnique,500000,9,137,2303
old,nonUnique,insert_write,random_nonUnique,500000,9,100,2303
old,nonUnique,insert,random_nonUnique,500000,10,136,2303
old,nonUnique,insert_write,random_nonUnique,500000,10,100,2303
old,nonUnique,insert,random_nonUnique,1000000,0,303,4672
old,nonUnique,insert_write,random_nonUnique,1000000,0,206,4672
old,nonUnique,insert,random_nonUnique,1000000,1,296,4672
old,nonUnique,insert_write,random_nonUnique,1000000,1,207,4672
old,nonUnique,insert,random_nonUnique,1000000,2,369,4672
old,nonUnique,insert_write,random_nonUnique,1000000,2,203,4672
old,nonUnique,insert,random_nonUnique,1000000,3,299,4672
old,nonUnique,insert_write,random_nonUnique,1000000,3,206,4672
old,nonUnique,insert,random_nonUnique,1000000,4,300,4672
old,nonUnique,insert_write,random_nonUnique,1000000,4,213,4672
old,nonUnique,insert,random_nonUnique,1000000,5,300,4672
old,nonUnique,insert_write,random_nonUnique,1000000,5,204,4672
old,nonUnique,insert,random_nonUnique,1000000,6,365,4672
old,nonUnique,insert_write,random_nonUnique,1000000,6,217,4672
old,nonUnique,insert,random_nonUnique,1000000,7,300,4672
old,nonUnique,insert_write,random_nonUnique,1000000,7,205,4672
old,nonUnique,insert,random_nonUnique,1000000,8,297,4672
old,nonUnique,insert_write,random_nonUnique,1000000,8,371,4672
old,nonUnique,insert,random_nonUnique,1000000,9,370,4672
old,nonUnique,insert_write,random_nonUnique,1000000,9,205,4672
old,nonUnique,insert,random_nonUnique,1000000,10,299,4672
old,nonUnique,insert_write,random_nonUnique,1000000,10,207,4672
old,nonUnique,search,random_nonUnique,100000,0,6202,472
old,nonUnique,search,random_nonUnique,100000,1,5498,472
old,nonUnique,search,random_nonUnique,100000,2,6200,472
old,nonUnique,search,random_nonUnique,100000,3,6187,472
old,nonUnique,search,random_nonUnique,100000,4,6231,472
old,nonUnique,search,random_nonUnique,100000,5,6347,472
old,nonUnique,search,random_nonUnique,100000,6,6168,472
old,nonUnique,search,random_nonUnique,100000,7,6251,472
old,nonUnique,search,random_nonUnique,100000,8,6693,472
old,nonUnique,search,random_nonUnique,100000,9,7482,472
old,nonUnique,search,random_nonUnique,100000,10,7478,472
old,nonUnique,remove,random_nonUnique,200000,0,84,98
old,nonUnique,remove,random_nonUnique,200000,1,78,102
old,nonUnique,remove,random_nonUnique,200000,2,77,103
old,nonUnique,remove,random_nonUnique,200000,3,80,101
old,nonUnique,remove,random_nonUnique,200000,4,78,100
old,nonUnique,remove,random_nonUnique,200000,5,66,100
old,nonUnique,remove,random_nonUnique,200000,6,65,96
old,nonUnique,remove,random_nonUnique,200000,7,68,99
old,nonUnique,remove,random_nonUnique,200000,8,66,102
old,nonUnique,remove,random_nonUnique,200000,9,68,99
old,nonUnique,remove,random_nonUnique,200000,10,67,100
old,nonUnique,remove,random_nonUnique,500000,0,219,250
old,nonUnique,remove,random_nonUnique,500000,1,222,249
old,nonUnique,remove,random_nonUnique,500000,2,226,247
old,nonUnique,remove,random_nonUnique,500000,3,221,252
old,nonUnique,remove,random_nonUnique,500000,4,220,247
old,nonUnique,remove,random_nonUnique,500000,5,223,253
old,nonUnique,remove,random_nonUnique,500000,6,226,241
old,nonUnique,remove,random_nonUnique,500000,7,224,247
old,nonUnique,remove,random_nonUnique,500000,8,220,242
old,nonUnique,remove,random_nonUnique,500000,9,216,248
old,nonUnique,remove,random_nonUnique,500000,10,220,246
new,Unique,insert,random,100000,0,165,495
new,Unique,insert_write,random,100000,0,141,495
new,Unique,insert,random,100000,1,58,495
new,Unique,insert_write,random,100000,1,102,495
new,Unique,insert,random,100000,2,58,495
new,Unique,insert_write,random,100000,2,101,495
new,Unique,insert,random,100000,3,64,495
new,Unique,insert_write,random,100000,3,103,495
new,Unique,insert,random,100000,4,45,495
new,Unique,insert_write,random,100000,4,102,495
new,Unique,insert,random,100000,5,45,495
new,Unique,insert_write,random,100000,5,103,495
new,Unique,insert,random,100000,6,45,495
new,Unique,insert_write,random,100000,6,101,495
new,Unique,insert,random,100000,7,45,495
new,Unique,insert_write,random,100000,7,101,495
new,Unique,insert,random,100000,8,44,495
new,Unique,insert_write,random,100000,8,103,495
new,Unique,insert,random,100000,9,46,495
new,Unique,insert_write,random,100000,9,101,495
new,Unique,insert,random,100000,10,47,495
new,Unique,insert_write,random,100000,10,111,495
new,Unique,insert,random,500000,0,359,2409
new,Unique,insert_write,random,500000,0,481,2409
new,Unique,insert,random,500000,1,373,2409
new,Unique,insert_write,random,500000,1,491,2409
new,Unique,insert,random,500000,2,332,2409
new,Unique,insert_write,random,500000,2,477,2409
new,Unique,insert,random,500000,3,269,2409
new,Unique,insert_write,random,500000,3,484,2409
new,Unique,insert,random,500000,4,298,2409
new,Unique,insert_write,random,500000,4,478,2409
new,Unique,insert,random,500000,5,310,2409
new,Unique,insert_write,random,500000,5,494,2409
new,Unique,insert,random,500000,6,318,2409
new,Unique,insert_write,random,500000,6,499,2409
new,Unique,insert,random,500000,7,270,2409
new,Unique,insert_write,random,500000,7,477,2409
new,Unique,insert,random,500000,8,279,2409
new,Unique,insert_write,random,500000,8,474,2409
new,Unique,insert,random,500000,9,273,2409
new,Unique,insert_write,random,500000,9,498,2409
new,Unique,insert,random,500000,10,313,2409
new,Unique,insert_write,random,500000,10,468,2409
new,Unique,insert,random,1000000,0,866,4809
new,Unique,insert_write,random,1000000,0,1073,4809
new,Unique,insert,random,1000000,1,907,4809
new,Unique,insert_write,random,1000000,1,948,4809
new,Unique,insert,random,1000000,2,848,4809
new,Unique,insert_write,random,1000000,2,1478,4809
new,Unique,insert,random,1000000,3,800,4809
new,Unique,insert_write,random,1000000,3,1186,4809
new,Unique,insert,random,1000000,4,801,4809
new,Unique,insert_write,random,1000000,4,948,4809
new,Unique,insert,random,1000000,5,840,4809
new,Unique,insert_write,random,1000000,5,2173,4809
new,Unique,insert,random,1000000,6,889,4809
new,Unique,insert_write,random,1000000,6,972,4809
new,Unique,insert,random,1000000,7,909,4809
new,Unique,insert_write,random,1000000,7,1005,4809
new,Unique,insert,random,1000000,8,822,4809
new,Unique,insert_write,random,1000000,8,1068,4809
new,Unique,insert,random,1000000,9,799,4809
new,Unique,insert_write,random,1000000,9,949,4809
new,Unique,insert,random,1000000,10,932,4809
new,Unique,insert_write,random,1000000,10,977,4809
new,Unique,insert,increasing,100000,0,7,232
new,Unique,insert_write,increasing,100000,0,35,232
new,Unique,insert,increasing,100000,1,9,232
new,Unique,insert_write,increasing,100000,1,35,232
new,Unique,insert,increasing,100000,2,7,232
new,Unique,insert_write,increasing,100000,2,34,232
new,Unique,insert,increasing,100000,3,7,232
new,Unique,insert_write,increasing,100000,3,46,232
new,Unique,insert,increasing,100000,4,9,232
new,Unique,insert_write,increasing,100000,4,38,232
new,Unique,insert,increasing,100000,5,50,232
new,Unique,insert_write,increasing,100000,5,34,232
new,Unique,insert,increasing,100000,6,8,232
new,Unique,insert_write,increasing,100000,6,34,232
new,Unique,insert,increasing,100000,7,7,232
new,Unique,insert_write,increasing,100000,7,35,232
new,Unique,insert,increasing,100000,8,7,232
new,Unique,insert_write,increasing,100000,8,33,232
new,Unique,insert,increasing,100000,9,7,232
new,Unique,insert_write,increasing,100000,9,35,232
new,Unique,insert,increasing,100000,10,8,232
new,Unique,insert_write,increasing,100000,10,33,232
new,Unique,insert,increasing,500000,0,41,1154
new,Unique,insert_write,increasing,500000,0,170,1154
new,Unique,insert,increasing,500000,1,44,1154
new,Unique,insert_write,increasing,500000,1,169,1154
new,Unique,insert,increasing,500000,2,97,1154
new,Unique,insert_write,increasing,500000,2,668,1154
new,Unique,insert,increasing,500000,3,41,1154
new,Unique,insert_write,increasing,500000,3,170,1154
new,Unique,insert,increasing,500000,4,43,1154
new,Unique,insert_write,increasing,500000,4,168,1154
new,Unique,insert,increasing,500000,5,42,1154
new,Unique,insert_write,increasing,500000,5,170,1154
new,Unique,insert,increasing,500000,6,45,1154
new,Unique,insert_write,increasing,500000,6,180,1154
new,Unique,insert,increasing,500000,7,44,1154
new,Unique,insert_write,increasing,500000,7,169,1154
new,Unique,insert,increasing,500000,8,41,1154
new,Unique,insert_write,increasing,500000,8,225,1154
new,Unique,insert,increasing,500000,9,49,1154
new,Unique,insert_write,increasing,500000,9,171,1154
new,Unique,insert,increasing,500000,10,41,1154
new,Unique,insert_write,increasing,500000,10,171,1154
new,Unique,insert,increasing,1000000,0,89,2308
new,Unique,insert_write,increasing,1000000,0,357,2308
new,Unique,insert,increasing,1000000,1,92,2308
new,Unique,insert_write,increasing,1000000,1,1703,2308
new,Unique,insert,increasing,1000000,2,91,2308
new,Unique,insert_write,increasing,1000000,2,345,2308
new,Unique,insert,increasing,1000000,3,153,2308
new,Unique,insert_write,increasing,1000000,3,342,2308
